,PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
0,0.7659999999999999,1.05,1.819,1.7209999999999999,2.1319999999999997,0.6829999999999999,1.735,1.74,0.433,1.715,1.199,1.7180000000000002,0
1,1.732,0.301,1.66,1.6969999999999998,3.088,1.054,1.642,1.614,0.226,1.745,0.6779999999999999,1.7530000000000001,0
2,0.983,0.8340000000000001,1.7990000000000002,1.733,2.144,0.983,1.8869999999999998,1.742,0.32799999999999996,1.625,0.804,1.824,0
3,0.981,1.4069999999999998,1.7690000000000001,1.588,1.578,0.597,1.683,1.7169999999999999,0.128,1.6059999999999999,1.749,1.8119999999999998,0
4,0.983,0.8340000000000001,1.7990000000000002,1.733,2.144,0.983,1.8869999999999998,1.742,0.32799999999999996,1.625,0.804,1.824,0
5,1.306,0.275,1.706,1.625,2.475,0.688,1.676,1.689,0.138,1.916,0.7559999999999999,1.8119999999999998,0
6,1.369,0.871,1.807,2.041,1.618,1.12,1.87,1.569,0.498,1.713,1.12,1.561,0
7,1.1909999999999998,0.8340000000000001,1.702,1.8430000000000002,2.978,0.35700000000000004,1.8840000000000001,1.646,0.35700000000000004,1.771,0.8340000000000001,1.87,0
8,1.195,1.379,1.8330000000000002,1.716,2.206,0.7809999999999999,1.675,1.774,0.414,1.693,1.3330000000000002,1.827,0
9,1.861,0.266,1.6640000000000001,1.724,2.747,0.975,1.724,1.619,0.354,1.725,0.8859999999999999,1.4880000000000002,0
10,1.1909999999999998,1.043,1.7619999999999998,1.9469999999999998,2.085,1.1909999999999998,1.995,1.7069999999999999,0.0,1.463,0.894,1.337,0
11,0.872,0.436,1.682,1.712,1.919,0.174,1.864,1.64,0.174,1.819,0.9590000000000001,1.879,0
12,2.006,0.386,1.67,1.601,3.24,0.8490000000000001,1.6580000000000001,1.7,0.077,1.7469999999999999,0.7709999999999999,1.66,0
13,0.579,1.68,1.8730000000000002,1.74,1.6219999999999999,0.8690000000000001,1.8130000000000002,1.859,0.29,1.784,0.8690000000000001,1.8119999999999998,1
14,0.445,1.0759999999999998,1.706,1.814,1.661,0.491,1.775,1.8530000000000002,0.39799999999999996,1.771,0.515,1.891,1
15,0.488,0.6509999999999999,1.824,1.6340000000000001,2.278,0.163,1.646,1.555,0.488,1.729,0.8140000000000001,1.745,1
16,1.9380000000000002,0.736,1.719,1.704,2.52,0.698,1.7009999999999998,1.758,0.155,1.761,0.38799999999999996,1.7309999999999999,1
17,0.23,1.301,1.848,1.755,2.296,0.23,1.82,1.797,0.153,1.827,1.071,1.854,1
18,0.825,1.252,1.754,1.814,1.9509999999999998,0.5539999999999999,1.725,1.777,0.126,1.7009999999999998,1.3969999999999998,1.787,1
19,0.9129999999999999,1.035,1.722,1.6740000000000002,1.8259999999999998,0.527,1.819,1.681,0.568,1.696,1.217,1.705,1
20,0.43799999999999994,1.124,1.751,1.744,1.507,0.5760000000000001,1.794,1.8719999999999999,0.192,1.838,0.8220000000000001,1.743,1
21,1.216,1.069,1.758,1.765,2.063,1.105,1.834,1.7630000000000001,0.295,1.788,0.442,1.755,1
22,0.364,1.882,1.672,1.732,1.517,0.364,1.601,1.615,0.0,1.632,2.428,1.6840000000000002,1
23,0.782,1.114,1.751,1.777,2.086,0.782,1.726,1.775,0.379,1.8430000000000002,1.138,1.757,1
24,0.8740000000000001,0.75,1.869,1.7919999999999998,1.4569999999999999,0.7909999999999999,1.7380000000000002,1.655,0.20800000000000002,1.7369999999999999,1.499,1.635,1
25,0.516,1.364,1.746,1.825,2.0869999999999997,0.6609999999999999,1.8359999999999999,1.744,0.26899999999999996,1.702,1.281,1.7309999999999999,1
26,0.5920000000000001,1.147,1.9140000000000001,1.796,2.48,0.703,1.8869999999999998,1.79,0.14800000000000002,1.771,1.3319999999999999,1.7069999999999999,1
27,0.777,1.213,1.757,1.82,1.959,0.715,1.774,1.723,0.218,1.784,0.902,1.757,1
28,1.73,1.112,1.736,1.768,1.6059999999999999,0.741,1.54,1.8,1.359,1.7890000000000001,1.8530000000000002,1.6580000000000001,1
29,0.758,1.072,1.824,1.84,2.17,0.68,1.8459999999999999,1.749,0.445,1.8159999999999998,0.915,1.7209999999999999,1
30,0.9079999999999999,1.085,1.754,1.6740000000000002,1.949,0.39899999999999997,1.815,1.755,0.332,1.7009999999999998,0.953,1.757,1
31,0.546,1.02,1.604,1.7690000000000001,1.5190000000000001,0.522,1.732,1.8019999999999998,0.522,1.8090000000000002,0.593,1.7730000000000001,1
32,0.924,0.7559999999999999,1.757,1.88,1.848,0.588,1.724,1.709,0.504,1.6469999999999998,1.26,1.768,1
33,1.331,1.383,1.7790000000000001,1.776,1.54,0.848,1.801,1.715,0.496,1.7619999999999998,0.9390000000000001,1.818,1
34,0.48,0.9840000000000001,1.8230000000000002,1.666,2.471,0.528,1.807,1.703,0.336,1.68,1.104,1.675,1
35,1.047,1.161,1.739,1.765,1.6769999999999998,0.7390000000000001,1.6740000000000002,1.742,0.18899999999999997,1.669,1.54,1.742,1
36,1.094,1.605,1.795,1.755,1.7,0.725,1.7730000000000001,1.791,0.392,1.724,1.213,1.8,1
37,0.55,0.917,1.7690000000000001,1.824,2.14,0.306,1.766,1.709,0.122,1.886,1.2229999999999999,1.819,1
38,1.0959999999999999,1.18,1.725,1.7719999999999998,1.749,0.722,1.849,1.78,0.18,1.755,1.082,1.7690000000000001,1
39,0.341,1.874,1.845,1.9780000000000002,1.874,0.256,1.807,1.838,0.17,1.766,1.022,1.9080000000000001,1
40,0.895,1.5519999999999998,1.8559999999999999,1.829,1.167,0.532,1.758,1.797,0.35100000000000003,1.755,1.393,1.86,1
41,0.5489999999999999,0.9159999999999999,1.821,1.8780000000000001,2.616,0.5760000000000001,1.854,1.828,0.5760000000000001,1.788,1.099,1.6969999999999998,1
42,0.612,0.857,1.742,1.864,1.959,0.49,1.7819999999999998,1.8769999999999998,0.49,1.671,0.245,1.882,1
43,0.198,1.148,1.6969999999999998,1.8090000000000002,2.019,0.35600000000000004,1.694,1.739,0.27699999999999997,1.7790000000000001,1.3459999999999999,1.807,1
44,0.9470000000000001,1.06,1.8119999999999998,1.7819999999999998,2.319,0.679,1.78,1.736,0.212,1.695,1.089,1.784,1
45,0.625,0.625,1.91,1.926,1.77,1.041,1.985,1.597,0.41600000000000004,1.899,1.145,1.8119999999999998,1
46,0.525,0.97,1.7009999999999998,1.7830000000000001,2.385,0.485,1.805,1.831,0.20199999999999999,1.818,1.011,1.724,1
47,0.525,0.97,1.7009999999999998,1.7830000000000001,2.385,0.485,1.805,1.831,0.20199999999999999,1.818,1.011,1.724,1
48,1.1079999999999999,1.1640000000000001,1.79,1.818,1.889,0.9159999999999999,1.7719999999999998,1.739,0.26,1.764,1.09,1.725,1
49,0.978,0.978,1.7209999999999999,1.768,1.4680000000000002,1.4680000000000002,1.715,1.621,1.345,1.672,2.201,1.8719999999999999,1
50,0.8370000000000001,1.4380000000000002,1.7630000000000001,1.778,1.4380000000000002,0.889,1.739,1.84,0.183,1.703,1.334,1.7180000000000002,1
51,0.8190000000000001,0.9940000000000001,1.746,1.828,1.433,0.555,1.794,1.81,0.23399999999999999,1.78,0.8190000000000001,1.736,1
52,0.87,0.9940000000000001,1.788,1.8130000000000002,2.03,0.456,1.798,1.808,0.373,1.829,1.2009999999999998,1.828,1
53,0.774,0.645,1.671,1.645,2.322,1.29,1.466,1.8130000000000002,1.6769999999999998,1.651,1.935,1.673,1
54,0.8490000000000001,0.679,1.7469999999999999,1.8880000000000001,1.7830000000000001,0.764,1.845,1.916,0.425,1.744,1.699,1.804,1
55,0.267,1.422,1.7719999999999998,1.5319999999999998,1.155,0.622,1.8419999999999999,1.5830000000000002,1.244,1.651,1.244,1.766,1
56,0.865,1.39,1.77,1.7690000000000001,1.364,0.682,1.7469999999999999,1.778,0.184,1.736,0.7609999999999999,1.781,1
57,0.851,1.454,1.869,1.761,1.419,0.78,1.765,1.8019999999999998,0.414,1.7530000000000001,1.159,1.804,1
58,1.058,1.663,1.7819999999999998,1.791,1.244,0.698,1.7730000000000001,1.78,0.37200000000000005,1.74,1.3719999999999999,1.801,1
59,1.3969999999999998,1.27,1.9040000000000001,1.675,1.8419999999999999,0.889,1.827,1.6569999999999998,0.508,1.75,0.5720000000000001,1.725,1
60,0.672,1.035,1.7919999999999998,1.831,1.371,0.644,1.6969999999999998,1.7830000000000001,0.22399999999999998,1.735,0.9229999999999999,1.849,1
61,0.96,1.136,1.7790000000000001,1.751,1.9269999999999998,0.451,1.723,1.7269999999999999,0.146,1.754,1.669,1.77,1
62,1.004,1.339,1.841,1.761,1.699,0.863,1.7209999999999999,1.7619999999999998,0.451,1.785,0.85,1.7590000000000001,1
63,0.852,2.556,1.787,1.739,1.5230000000000001,0.6709999999999999,1.655,1.7619999999999998,0.18100000000000002,1.818,1.575,1.749,1
